N,lam,Cv,chisq
13803.556314038347,0.3990573604722931,0.0,14.223309717128187
12992.671016353377,0.40986807464339825,0.05,14.280670574860181
12232.292521706935,0.4216030244825462,0.1,14.364139035955453
11838.669729574276,0.4343105519864654,0.15000000000000002,14.40670002828151
11108.59701866589,0.44842777125256766,0.2,14.26399485506075
10369.86864126051,0.4641064025889959,0.25,14.304051463047992
9822.60538217055,0.48163206467612923,0.30000000000000004,14.323599160955922
9211.369073148462,0.5016143898341122,0.35000000000000003,14.313291342834923
8505.500978485154,0.524807374252772,0.4,14.380522829479844
7843.801449862847,0.5522795353795418,0.45,14.206684025743314
7233.417218150104,0.5858804881174579,0.5,14.372824060849934
6588.835189439219,0.6292782136732836,0.55,14.343198986109158
5779.627339062613,0.6908846788516445,0.6000000000000001,14.315840309192437
4944.4316534590625,0.7999826176125505,0.65,14.273501263363004
4874.62846272445,0.8176100364793417,0.655,14.249293404394992
4774.917912391667,0.838113439793112,0.66,14.284137799380932
4598.9726805662685,0.8631351552587739,0.665,14.312027059220199
4554.90003635169,0.8935866415533085,0.67,14.372408207621627
4361.322106517947,0.9372592750670979,0.675,14.409346185160736
4106.84091294464,1.020199307378539,0.68,14.220507675824008
4217.035714612335,1.4148372280812072,0.685,14.186073306993322
4529.025846156569,1.5094719946447455,0.6900000000000001,14.380899974146175
4581.016498797539,1.5741225906746716,0.6950000000000001,14.443039124703368
4799.419239032081,1.6217483240534143,0.7000000000000001,14.440130156189191
6224.840183316515,1.8892984827608037,0.75,14.140411370068406
7716.406667796942,2.038108644206614,0.8,14.293385044018926
9247.680114467126,2.145034705328597,0.8500000000000001,14.340991360774304
10485.247288211975,2.2294859721280718,0.9,14.365341490848966
12021.801353977438,2.298041930624617,0.9500000000000001,14.285591305409787
13840.012297459962,2.355444587450552,1.0,14.210367558036092
