N,lam,Cv,chisq
8819.483815119806,0.39398733064215374,0.0,15.980525014533365
8363.121744939088,0.4043597895664721,0.05,16.035475103761318
7914.821647639974,0.41561869872547264,0.1,16.07259922718346
8287.928972538753,0.4303814702737636,0.15000000000000002,15.00551014083264
7028.0779755054555,0.4413590187727127,0.2,16.14793861002251
6611.2609455816055,0.45626095085616264,0.25,16.17366428992744
6198.656959734446,0.47292156796308366,0.30000000000000004,16.190280303977186
5808.7730025213805,0.4917950632040133,0.35000000000000003,16.179436769292703
5417.433979413362,0.5134664008028665,0.4,16.183326777906686
5613.629706067029,0.5425992946417284,0.45,14.960103419219424
4693.112974830734,0.5698392269546194,0.5,16.01394666686711
4239.34669753683,0.6089425033891793,0.55,16.05404666750561
3708.163669309447,0.6619123298199792,0.6000000000000001,16.22267661405224
3230.910118421053,0.7463869386813771,0.65,16.189692855959706
3168.229679322872,0.7584752941917147,0.655,16.202355540961744
3116.9234362714274,0.7716450522050547,0.66,16.206928097870914
3073.2447391324936,0.7864828710058858,0.665,16.147869294884313
2994.003263014109,0.8028636471347059,0.67,16.198202554074747
3042.8989510239603,0.8201290667037551,0.675,16.307455322658612
3006.142725740801,0.8400414627558515,0.68,16.63793226590481
2849.252173852845,0.863717612075086,0.685,17.187338048831403
2632.514546498457,0.8932339309632237,0.6900000000000001,17.83598929175243
2465.1723451186963,0.9333473561521335,0.6950000000000001,18.38954794998189
2669.8508507152715,1.0013979010019132,0.7000000000000001,18.394787299773203
3345.042902884635,1.7642809495851592,0.75,16.644758176053035
4054.500570672988,1.9084030612027207,0.8,19.102484141225368
4983.620801119883,2.0186706671615013,0.8500000000000001,18.959553747575878
5928.742264932136,2.102216269374668,0.9,18.849352447546508
6923.767955760458,2.1692209765802772,0.9500000000000001,18.765449566280562
7952.043072477645,2.2248956933197435,1.0,18.692940173588575
