Cv,lam
0.0,0.3920065195913227
0.05,0.4023092802006984
0.1,0.4134721824916631
0.15000000000000002,0.42563719377879783
0.2,0.43898454465178127
0.25,0.4537479817427049
0.30000000000000004,0.47023854642003393
0.35000000000000003,0.48888338082983973
0.4,0.5102927548991291
0.45,0.5353845275500652
0.5,0.5656385345868974
0.55,0.6036913527844274
0.6000000000000001,0.6550441050951901
0.65,0.7351710357163339
0.655,0.7463936739873632
0.66,0.7586202302263317
0.665,0.7761589277741411
0.67,0.7870275004632412
0.675,0.8039337194244579
0.68,0.8234392547743865
0.685,0.8459589670533861
0.6900000000000001,0.8747160419148833
0.6950000000000001,0.9136966134111201
0.7000000000000001,0.9792660157355169
0.75,1.7406887622466967
0.8,1.9058440809827437
0.8500000000000001,2.016135737941372
0.9,2.099558188844987
0.9500000000000001,2.16643407180115
1.0,2.2219380930479575
