#: table_doi: 10.17182/hepdata.113470.v1/t19
#: name: Fig 5a unbinned
#: description: Mass distributions for selected $D^+ D^+$ candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_5a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^+ D^+}$ [MEV],Weight []
3744.5066,0.01484
3744.52019,1.09184
3744.53378,0.05509
3744.53831,1.00212
3744.54522,0.15374
3744.57407,0.08208
3744.57645,0.15925
3744.58194,1.2594
3744.58289,0.11824
3744.58361,0.31699
3744.58623,0.13926
3744.6773,0.13334
3744.6928,-0.42583
3744.70496,-0.55665
3744.71307,-0.50475
3744.72213,-0.00899
3744.7319,-0.53288
3744.75241,-0.66294
3744.76957,-0.10978
3744.78364,-0.33301
3744.78388,1.21761
3744.80081,0.2882
3744.80224,-0.24165
3744.80677,0.12506
3744.83991,-0.38156
3744.87615,0.49916
3744.89522,-0.63058
3744.90237,0.15927
3744.90738,0.15895
3744.91,-0.04637
3744.92836,-0.77012
3744.93814,-0.20862
3744.94195,-0.19382
3744.96102,0.17561
3744.9801,-0.62131
3745.03589,0.15636
3745.03803,0.23628
3745.08762,0.15676
3745.09358,-0.53412
3745.1098,1.23756
3745.11623,0.14857
3745.12625,0.15798
3745.21136,0.1262
3745.22328,-0.38276
3745.24212,0.03458
3745.29505,0.82539
3745.29696,0.15844
3745.31603,0.15133
3745.3332,-0.35048
3745.34941,0.1566
3745.35179,0.15914
3745.36324,-0.24344
3745.38636,-0.1014
3745.39137,-0.52588
3745.39185,1.52343
3745.42403,1.55305
3745.42594,0.12322
3745.44048,-0.00548
3745.46218,-0.3746
3745.49675,0.13111
3745.49675,0.62763
3745.50366,0.92665
3745.51058,-0.24135
3745.5287,-0.04473
3745.543,0.08856
3745.56446,-0.37797
3745.56899,0.08644
3745.59045,0.01627
3745.60738,0.13559
3745.62645,0.15263
3745.6398,0.50076
3745.65339,-0.61961
3745.68057,1.57448
3745.69511,0.1591
3745.7037,0.00744
3745.73588,0.08628
3745.75186,1.23
3745.75543,-0.2654
3745.77642,0.22598
3745.78261,-0.57656
3745.78714,0.06754
3745.83077,0.15917
3745.83149,0.15367
3745.84079,0.03696
3745.84889,0.14246
3745.85414,0.15936
3745.8601,-0.03229
3745.86916,-0.76893
3745.87083,1.57
3745.88585,0.15874
3745.88704,0.14215
3745.8899,-0.10899
3745.90588,1.58898
3745.90707,1.2371
3745.90731,-0.01425
3745.92924,0.15771
3745.92948,0.07126
3745.94259,0.09186
3745.95428,-0.04555
3745.96381,0.98127
3745.96643,0.1293
3745.97073,0.16034
3746.001,0.0487
3746.00816,0.12923
3746.04726,0.14448
3746.04774,0.15892
3746.04845,1.33257
3746.05417,-0.37686
3746.06109,0.15096
3746.06943,-0.54981
3746.09542,0.15663
3746.10281,-0.13753
3746.11616,-0.3102
3746.12069,0.15522
3746.15049,0.02992
3746.1555,-0.44714
3746.1865,0.159
3746.23156,-0.68316
3746.25492,-0.68496
3746.25826,0.13885
3746.2604,-0.46904
3746.26064,-0.0579
3746.2883,-0.55348
3746.30475,-0.02413
3746.31548,0.15893
3746.31906,-0.06531
3746.32525,-0.07985
3746.3274,-0.6604
3746.32835,0.01504
3746.34361,0.15891
3746.35959,0.09768
3746.36698,-0.58147
3746.37628,-0.40305
3746.39463,0.01
3746.42229,0.15383
3746.42301,0.14962
3746.43374,-0.4948
3746.45424,-0.1975
3746.45591,0.14531
3746.46211,0.15139
3746.47832,0.15914
3746.48428,-0.64626
3746.49334,-0.43601
3746.5055,0.15473
3746.52815,0.3484
3746.53506,-0.02965
3746.54174,0.13443
3746.54341,-0.16477
3746.54627,0.16066
3746.56987,-0.1336
3746.58155,0.15871
3746.59204,-0.15204
