0.39,0.0,0.4
0.4,0.1,1.0
0.41,0.1,0.4
0.41,0.1,0.5
0.43,0.2,0.6
0.43,0.2,0.7
0.44,0.2,0.2
0.45,0.3,1.0
0.46,0.3,0.6
0.47,0.3,0.2
0.49,0.4,0.8
0.5,0.4,0.5
0.51,0.4,0.2
0.53,0.5,0.9
0.54,0.5,0.7
0.55,0.5,0.5
0.56,0.5,0.3
0.57,0.5,0.1
0.59,0.6,1.0
0.61,0.6,0.7
0.63,0.6,0.4
0.64,0.6,0.3
0.65,0.6,0.2
0.66,0.6,0.1
0.67,0.6,0.0
0.7,0.7,1.0
0.71,0.7,0.9
0.73,0.7,0.8
0.74,0.7,0.7
0.76,0.7,0.6
0.78,0.7,0.5
0.79,0.7,0.5
0.81,0.7,0.4
0.84,0.7,0.3
0.85,0.7,0.3
0.88,0.7,0.2
0.89,0.7,0.2
0.97,0.7,0.1
0.98,0.7,0.1
0.99,0.7,0.1
1.0,0.7,0.1
