N,lam,Cv,chisq
8967.939568121186,0.39202714261761346,0.0,15.300250560198025
8545.073914116234,0.4023305756023845,0.05,15.30492523656362
8125.79575883185,0.41349409063063935,0.1,15.308953909393072
7709.383593363222,0.4256597448130147,0.15000000000000002,15.312321918669006
7295.506780189352,0.4390084401846699,0.2,15.315014827731487
6882.10968123738,0.4537709065349939,0.25,15.316973765608743
6470.572031106543,0.47026276394765115,0.30000000000000004,15.318202783415002
6058.875834861619,0.48890907832748115,0.35000000000000003,15.318635560593547
5645.63787864155,0.510319687741654,0.4,15.318206398193738
5229.057853957953,0.535414116446638,0.45,15.31682367080385
4805.80615548747,0.5656717767609472,0.5,15.314341287680724
4370.550823564103,0.6037337158948106,0.55,15.310519122329938
3912.340815971322,0.6550932363949894,0.6000000000000001,15.304866645115666
3404.643354696315,0.7352457652013379,0.65,15.296156635747398
3348.6222094672535,0.7464734215380843,0.655,15.294995838001928
3291.0528760780307,0.758705991559895,0.66,15.293752568214117
3231.8224429301654,0.7721557314854645,0.665,15.2924238031914
3170.0504593363225,0.7871298684581483,0.67,15.290954583323463
3105.726524388658,0.8040481172472637,0.675,15.289351679686726
3037.9319532733034,0.8235700615318051,0.68,15.287561130998155
2964.9201681838995,0.8467819765791187,0.685,15.285496456362516
2885.868569814366,0.8757195402179214,0.6900000000000001,15.283070948217771
2796.0055180556787,0.9150465048898061,0.6950000000000001,15.279989032647874
2682.42932861715,0.981792393791535,0.7,15.27528909281419
2682.695297164905,0.9817644379005842,0.7000000000000001,15.275291938973144
2820.612875420939,1.4582719887682067,0.71,15.255407089781954
3053.798735165406,1.566153973489664,0.72,15.252985738406515
3260.7600802168095,1.6379776014872585,0.73,15.251631989612866
3461.3578732695205,1.6940583102333022,0.74,15.250872280073132
3646.6962181413264,1.7408642479047818,0.75,15.249988841695155
4578.686602000212,1.9059712291247903,0.8,15.248062029011198
5520.69780511075,2.0162481930692615,0.8500000000000001,15.246980322248772
6503.019434199756,2.0996645537875858,0.9,15.24628825834059
7534.452043234582,2.166540616503432,0.9500000000000001,15.245810432602621
8618.511383308425,2.2220398908446923,1.0,15.24547087670205
