N,lam,Cv,chisq
10145.562684306151,0.3961466510430342,0.0,14.690689224325116
9519.880272544262,0.4066457160536948,0.05,14.784981445903695
8967.254100819371,0.41815345283375827,0.1,14.873838769778416
8397.878686709275,0.4303866860554151,0.15000000000000002,14.923177993919532
7103.796503444303,0.44138658603579245,0.2,16.06859637413401
6647.853355606565,0.4562830666161817,0.25,16.13128313432001
6199.8439807558425,0.47292728178894805,0.30000000000000004,16.187477809254798
6430.106788243741,0.49487562485916864,0.35000000000000003,15.054885964048456
5389.145166275144,0.5134642489340617,0.4,16.20472502411538
5062.322760214152,0.5390081241407083,0.45,16.085692438428197
4677.610816305645,0.5699716805555136,0.5,16.044304304901328
4203.472706578902,0.608943368164062,0.55,16.12955970277826
3691.081857336919,0.6619062522820561,0.6000000000000001,16.267963256360943
3198.495875608424,0.7463356066800223,0.65,16.259672563226623
3143.3119039152466,0.7583411808851062,0.655,16.268974610899892
3107.7885759652017,0.771646186807034,0.66,16.21453266795357
3070.568813783738,0.7860496605451652,0.665,16.235379115435503
2990.024690445521,0.8028736869616612,0.67,16.206882039489013
2909.1442497545477,0.8217856166593903,0.675,16.241327664634223
2818.298571398584,0.843961750686393,0.68,16.295174578732144
2714.8585234951656,0.8710400029509591,0.685,16.360300898292397
2561.8466024270756,0.905917111137431,0.6900000000000001,16.55198156850537
2753.0880445428406,1.053190821163634,0.6950000000000001,15.113078839535323
2842.2992083621966,1.3138402220394798,0.7,15.829052006578769
2644.3428283105973,1.3468157868259376,0.7000000000000001,15.777998858024773
3386.4701731110576,1.5558588731880127,0.71,14.752174015971093
3629.8640334061447,1.6336988615354877,0.72,14.732149270629991
3317.9045257781695,1.669744370837515,0.73,15.909312847785055
3611.171893779232,1.7215204398037707,0.74,15.669079141384575
3826.2206353020874,1.764654301169456,0.75,15.595737465660191
4658.888013660343,1.9218545247046754,0.8,15.780887145269503
5822.876957136368,2.0421710536585085,0.8500000000000001,15.167305939836718
7139.958894856529,2.1237249636502584,0.9,14.913998884815767
8538.486259705267,2.189464404460912,0.9500000000000001,14.732139120652546
8815.953173054537,2.2335947921959174,1.0,15.69905351934085
