N,lam,Cv,chisq
10143.785400852377,0.39614054915382196,0.0,14.690710025173338
9523.710027870782,0.40665621095559423,0.05,14.78497658600794
8956.188526544118,0.4180353402157482,0.1,14.857011023215161
8404.143774429032,0.43042233806311425,0.15000000000000002,14.924453130578579
7894.535778384099,0.44402382591806683,0.2,14.968979171472018
7364.067101287254,0.4590709646142735,0.25,15.034276138694322
6893.159523694869,0.4758983143573985,0.30000000000000004,15.054455480075667
6438.095398458023,0.4949592258421703,0.35000000000000003,15.060085037249914
5970.594336232862,0.516905869127273,0.4,15.078465515846146
5592.936196270914,0.5427149283806373,0.45,14.995507186537479
5226.988470138927,0.5741105940436868,0.5,14.89374593388523
4592.454001331397,0.6139512345797383,0.55,15.100550333410675
4044.9445254473694,0.6684383408467316,0.6000000000000001,15.184457961057314
3514.024929263788,0.7566753562997931,0.65,15.144638933225023
3481.9139109136677,0.7695241800115552,0.655,15.088157628371883
3413.394796374906,0.7837484356702805,0.66,15.092917729217456
3347.98469065016,0.7996449533563591,0.665,15.087521965071655
3253.324080910359,0.8177749714982192,0.67,15.130562045239003
3179.6842693878616,0.8389167713885277,0.675,15.123586082288607
3053.1156241877534,0.8643613132767116,0.68,15.216274520035173
2825.316057081567,0.8964992223546407,0.685,15.538222294591373
2673.905430011223,0.9430473849596407,0.6900000000000001,15.674526511205404
2750.454614187601,1.0499578169733983,0.6950000000000001,15.114801893724646
3111.2973537802673,1.426913464460347,0.7,14.734900871048401
3111.2973537802673,1.4269134644603492,0.7000000000000001,14.734900871048401
3382.5079413442927,1.555462111318956,0.71,14.752750283843234
3627.100884372803,1.6334621243826761,0.72,14.732550493991704
3858.975160780663,1.6923369248303466,0.73,14.704354580243134
4088.60418410315,1.7407638774051875,0.74,14.671394316530595
4477.452079007413,1.7820987273498048,0.75,14.448828224787835
5189.059246477798,1.9363905750495332,0.8,14.790363676969559
5829.529557463818,2.0428396855793873,0.8500000000000001,15.191999361865324
7150.158126652459,2.124150719133947,0.9,14.922859808489667
8547.115247531943,2.189691803528,0.9500000000000001,14.734400806329187
10025.490273620771,2.2442804898314335,1.0,14.595697665562527
