#: table_doi: 10.17182/hepdata.113470.v1/t17
#: name: Fig 4a unbinned
#: description: $D^0 D^0$~mass distributions for selected candidates with the $D^0$ background subtracted by assigning the a weight to every candidate.
#: data_file: Fig_4a_unbinned.json
#: keyword reactions: P P --> Tcc+ X
#: keyword reactions: Tcc+ --> D0 D0 PI+
#: keyword observables: DN/DM
#: keyword cmenergies: 7000.0 | 8000.0 | 13000.0
#: keyword phrases: Inclusive | Proton-Proton Scattering | Invariant Mass Spectrum | Exotics | Tetraquark
$m_{D^0 D^0}$ [MEV],Weight []
3730.85642,0.11411
3730.86405,0.11437
3730.8712,1.36058
3730.87263,0.63184
3730.87549,0.83177
3730.88408,0.11554
3730.89576,-0.50769
3730.89647,-0.04693
3730.89743,0.05001
3730.90053,1.17892
3730.90529,0.46415
3730.91364,0.03816
3730.91602,-0.0394
3730.91769,-0.35962
3730.91865,0.1559
3730.9227,0.30173
3730.94058,0.1132
3730.94153,-0.50038
3730.94249,-0.50539
3730.94463,0.8955
3730.95179,1.348
3730.96418,0.94519
3730.97014,0.8512
3730.973,1.00438
3730.97587,1.37618
3730.97777,-0.51763
3730.98206,1.23474
3730.99351,0.83025
3730.99542,0.76494
3731.01044,0.75451
3731.01568,1.3754
3731.02307,1.06368
3731.04525,-0.04273
3731.04787,-0.41688
3731.05001,-0.07724
3731.05288,1.18295
3731.05884,0.9898
3731.06003,-0.22146
3731.06408,0.07892
3731.0648,1.20989
3731.06909,0.58735
3731.07195,1.32666
3731.08339,0.99435
3731.08602,0.05785
3731.09007,-0.56035
3731.10342,0.7307
3731.11176,1.11381
3731.12321,1.24714
3731.148,-0.30233
3731.15468,1.20911
3731.15969,0.11554
3731.16016,1.24725
3731.16493,1.32363
3731.1728,-0.44808
3731.17304,-0.5467
3731.19855,-0.47514
3731.21357,-0.05891
3731.21428,-0.16267
3731.22001,0.11547
3731.22478,0.11525
3731.23169,-0.54946
3731.23503,0.32458
3731.23646,0.94392
3731.24838,-0.43981
3731.24933,1.32914
3731.25696,0.00665
3731.26078,0.61382
3731.26149,1.34262
3731.26388,0.60066
3731.2696,1.15944
3731.26984,0.31139
3731.26984,1.16379
3731.28438,0.03197
3731.29916,0.02824
3731.30083,1.23543
3731.30393,0.11064
3731.30941,1.18315
3731.31347,-0.49078
3731.31824,-0.33821
3731.3211,0.10205
3731.32753,-0.02356
3731.3416,-0.45286
3731.35948,1.24561
3731.36377,-0.0337
3731.36997,1.0363
3731.37879,1.28229
3731.3807,0.11555
3731.38452,1.34873
3731.38523,-0.39901
3731.39429,-0.36747
3731.39668,0.61286
3731.39858,0.11435
3731.40621,1.3801
3731.41003,1.04078
3731.41646,0.7413
3731.42052,0.1132
3731.42195,0.11542
3731.42386,0.11555
3731.42791,-0.50228
3731.43625,1.25094
3731.4589,-0.27333
3731.46844,-0.33888
3731.46868,-0.49573
3731.47583,0.77566
3731.49085,0.11111
3731.49562,-0.47544
3731.49633,-0.44704
3731.50659,1.08505
3731.50706,0.0686
3731.51445,1.29262
3731.51469,1.0443
3731.53925,0.8691
3731.54783,1.38678
3731.55069,0.07932
3731.55212,0.2144
3731.55451,0.1155
3731.56476,-0.13235
3731.56595,0.11552
3731.56881,0.11327
3731.57096,-0.4923
3731.60291,-0.49326
3731.60505,1.31326
3731.60553,0.114
3731.60815,0.09074
3731.60863,1.19677
3731.61745,0.77651
3731.61984,1.31388
3731.62007,1.03781
3731.62389,1.23689
3731.62723,1.1383
3731.62794,1.03692
3731.63128,-0.24788
3731.64272,-0.18777
3731.65774,-0.39877
3731.65822,1.34846
3731.66609,0.07935
3731.67753,-0.49772
3731.67777,0.10945
3731.6854,0.01609
3731.69446,0.11552
3731.7009,-0.5258
3731.71043,0.33369
3731.71163,-0.54764
3731.71377,1.12282
3731.71806,1.12575
3731.72998,0.82752
3731.73428,-0.16869
3731.75764,0.11389
3731.75907,1.37877
3731.76503,0.11549
3731.76908,1.13366
3731.77934,0.82039
3731.7841,0.18455
3731.79054,1.35297
3731.80246,1.06424
3731.8151,-0.19152
3731.81724,1.38576
3731.81939,-0.21356
3731.81939,0.11291
3731.82106,0.31517
3731.82249,1.34382
3731.82488,0.11529
3731.82726,1.2581
3731.83084,-0.52601
3731.83155,-0.1307
3731.83346,-0.45144
3731.83703,-0.40419
3731.85802,-0.34556
3731.86636,-0.03375
3731.87733,1.18529
3731.87804,1.12604
3731.88782,1.1729
3731.89068,0.36915
3731.89187,0.61247
3731.89449,-0.51337
3731.89855,0.23522
3731.90522,0.08589
3731.91428,1.25328
3731.93669,0.05812
3731.94146,-0.09226
3731.94456,0.8583
3731.96912,0.09333
3731.97126,-0.54005
3731.98485,1.07297
3731.98605,-0.3867
3732.00679,1.32316
3732.01871,-0.30661
3732.01942,0.11553
3732.04613,1.29895
3732.04708,-0.3537
3732.05328,-0.43761
3732.06115,-0.47399
3732.06758,-0.21782
3732.07569,-0.03821
3732.08213,1.24324
3732.1012,1.36646
3732.10335,-0.05597
3732.12147,0.04817
3732.1279,0.83186
3732.14006,-0.27994
3732.1465,1.0013
3732.15103,0.11553
3732.17916,0.11552
3732.1794,0.06899
3732.18393,-0.54002
3732.18703,-0.26424
3732.19037,0.15394
3732.19061,-0.52158
3732.1949,-0.52648
3732.19705,0.99158
3732.21374,1.35845
3732.21493,1.34133
3732.2154,1.34736
3732.21564,0.10544
3732.21755,0.97506
3732.2185,0.11555
3732.21922,1.02774
3732.22089,-0.22597
3732.23638,-0.09158
3732.24473,0.08047
3732.25641,1.29049
3732.25951,0.04868
3732.28312,0.52079
3732.301,0.42945
3732.32126,1.27897
3732.32412,-0.27378
3732.32484,-0.38336
3732.32508,1.13316
3732.32532,-0.39034
3732.33438,1.18369
3732.33581,0.83219
3732.34749,1.09814
3732.34963,0.01661
3732.36012,1.20802
3732.3699,1.31978
3732.37062,1.27729
3732.37205,0.06488
3732.37562,-0.39416
3732.38206,-0.16174
3732.3823,-0.26017
3732.40161,-0.46828
3732.41258,1.24922
3732.41305,1.09779
3732.41997,0.06083
3732.42044,-0.5211
3732.42331,-0.09886
3732.42736,-0.53138
3732.45001,0.0616
3732.45502,1.01127
3732.47671,-0.20474
3732.48267,0.25837
3732.48267,0.11456
3732.48458,0.10861
3732.49602,1.09674
3732.51367,0.1128
3732.52201,-0.25202
3732.52749,-0.55123
3732.53298,1.18614
3732.53894,0.11537
3732.5511,0.11554
3732.55253,-0.22896
3732.56278,0.11176
3732.5654,0.94346
3732.56874,-0.25486
3732.56898,-0.22721
3732.57327,0.11551
3732.57399,-0.21021
3732.57899,1.20906
3732.58424,0.11137
3732.59306,1.22798
3732.60546,-0.38701
3732.61213,0.10658
3732.61356,0.35834
3732.61476,1.22853
3732.62262,0.11553
3732.63788,0.03433
3732.63788,-0.26207
3732.65243,-0.40335
3732.65266,1.31177
3732.67865,0.48156
3732.68652,-0.49105
3732.687,0.21326
3732.6932,-0.04921
3732.69725,0.11536
3732.70202,0.11367
3732.70798,0.57979
3732.70965,-0.52182
3732.72944,0.11156
3732.73182,0.50791
3732.74279,0.40613
3732.74326,0.06356
3732.76067,0.07862
3732.76305,0.11553
3732.7714,-0.50467
3732.77354,0.10089
3732.7764,1.38465
3732.77688,1.23836
3732.77974,-0.39446
3732.78761,0.11542
3732.79357,1.20341
3732.79524,0.11472
3732.79834,-0.42039
3732.80954,0.38823
3732.82623,-0.08835
3732.83291,1.18627
3732.83982,1.18527
3732.84173,-0.55529
3732.84674,1.27959
3732.85723,1.31544
3732.86056,0.04112
3732.87106,0.11548
3732.89108,0.86973
3732.89442,-0.45129
3732.89561,-0.53605
3732.90396,0.84
3732.91564,1.28006
3732.92351,-0.21971
3732.92422,-0.32902
3732.9247,0.82139
3732.93853,1.38716
3732.96428,-0.41732
3732.97191,0.11555
3732.98359,1.02953
3732.9998,1.2483
3733.00386,0.5143
3733.037,1.32889
3733.04009,0.77215
3733.04296,1.26839
3733.04844,0.87095
3733.05178,0.04652
3733.06823,1.25615
3733.07395,-0.47847
3733.07657,-0.4459
3733.08325,-0.28813
3733.09064,-0.50857
3733.09088,-0.50615
3733.11663,-0.08255
3733.11734,0.11392
3733.1233,0.10642
3733.12497,1.10586
3733.12592,-0.00534
3733.13141,1.37033
3733.13141,0.5545
3733.13665,0.27848
3733.14929,0.11389
3733.14953,0.2967
3733.15144,0.09231
3733.15406,-0.46208
3733.16216,-0.10859
3733.16526,0.03336
3733.16789,1.06702
3733.17361,-0.47802
3733.17718,-0.50457
3733.1779,0.11524
3733.18005,1.04148
3733.18577,0.97617
3733.19316,0.0869
3733.1953,0.11103
3733.19721,0.34126
3733.20341,0.1097
3733.21962,-0.04976
3733.22248,-0.10953
3733.23822,0.036
3733.25419,0.08255
3733.26945,0.0775
3733.27041,1.31616
3733.28328,0.10182
3733.28567,0.04289
3733.28972,0.57065
3733.29401,0.55292
3733.30665,0.09628
3733.32238,-0.49524
3733.32596,1.38695
3733.32858,-0.42622
3733.34146,0.46119
3733.34169,0.14554
3733.34551,-0.00304
3733.36554,0.49794
3733.36816,0.9054
3733.38246,0.04838
3733.38628,0.11552
3733.39558,-0.38411
3733.41012,0.1155
3733.42013,-0.53939
3733.42776,0.25938
3733.42824,-0.4176
3733.43182,0.10657
3733.43968,1.34324
3733.44183,0.01213
3733.45399,0.99081
3733.45733,-0.04557
3733.48141,0.0081
3733.48355,-0.1619
3733.48713,0.10559
3733.48737,0.9289
3733.49643,-0.07993
3733.49762,0.03918
3733.50215,0.89908
3733.50549,0.10619
3733.51216,-0.52046
3733.53624,1.10174
3733.53672,-0.49768
3733.53696,-0.35644
3733.54578,1.09316
3733.54721,0.11537
3733.56318,-0.36058
3733.56819,1.13341
3733.5794,0.06659
3733.58917,1.25604
3733.59156,0.68538
3733.59275,-0.3568
3733.59847,-0.38134
3733.60014,1.11987
3733.60538,0.11245
3733.62398,-0.24315
3733.62517,1.12447
3733.62541,-0.12558
3733.6297,-0.53371
3733.63233,0.63517
3733.6483,-0.44834
3733.66833,1.36946
3733.67214,-0.15206
3733.67786,0.1035
3733.68263,-0.29516
3733.68716,0.11548
3733.6905,-0.36086
3733.69551,-0.22924
3733.70528,0.11462
3733.70647,0.23938
3733.70934,1.22941
3733.71291,0.09572
3733.71363,-0.42061
3733.71458,-0.3104
3733.71601,-0.05795
3733.71959,-0.0187
3733.72054,-0.55253
3733.72722,1.23728
3733.73246,-0.31576
3733.73318,-0.31449
3733.73723,1.29626
3733.74581,-0.31648
3733.74724,0.03014
3733.74867,-0.45967
3733.75058,-0.49746
3733.77276,1.27164
3733.78015,0.10491
3733.78086,1.14594
3733.78372,0.1037
3733.78491,0.85498
3733.80089,0.08399
3733.80637,0.38284
3733.80756,-0.06623
3733.80899,-0.40633
3733.80995,0.07783
3733.81496,-0.49306
3733.81591,-0.26819
3733.81996,1.19461
3733.84094,-0.52989
3733.84452,-0.21735
3733.84643,1.23774
3733.8481,-0.29389
3733.85501,0.76555
3733.86407,0.77736
3733.87074,0.86267
3733.87718,0.08017
3733.87885,0.08628
3733.881,0.11554
3733.88672,-0.00088
3733.8903,0.32256
3733.89125,0.92909
3733.89173,0.06393
3733.90269,1.35361
3733.91438,-0.14924
3733.92224,0.99806
3733.92344,1.30584
3733.93226,-0.01303
3733.93273,0.52981
3733.94847,0.03221
3733.97183,-0.49064
3733.98852,-0.43206
3733.99138,-0.56332
3733.99186,0.11474
3734.0126,-0.16298
3734.0281,0.18787
3734.02977,-0.54414
3734.0312,0.0232
3734.03406,0.95234
3734.03478,0.94364
3734.03549,-0.21569
3734.04884,0.10563
3734.05147,-0.2091
3734.056,-0.18506
3734.06601,-0.1063
3734.0672,-0.48925
3734.06887,-0.43316
3734.07459,-0.22937
3734.08151,0.11555
3734.08151,1.37834
3734.08246,1.17767
3734.08699,1.2262
3734.1044,0.11551
3734.11083,0.10905
3734.11417,-0.55573
3734.13181,0.73719
3734.13324,0.11248
3734.13467,0.81062
3734.13944,0.05235
3734.14016,0.65775
3734.14874,1.31289
3734.15136,1.32821
3734.16519,-0.41571
3734.16972,-0.3465
3734.17401,1.15819
3734.18093,-0.41603
3734.1876,-0.10933
3734.18927,-0.53985
3734.18951,0.0966
3734.18975,0.06508
3734.19142,1.38388
3734.1938,-0.45046
3734.19929,-0.45556
3734.20334,0.02184
3734.22337,0.0863
3734.25102,-0.19965
3734.26247,0.10935
3734.26557,-0.03143
3734.2751,0.11552
3734.27963,-0.05646
3734.28702,1.267
3734.29084,-0.49596
3734.29322,-0.05808
3734.2937,-0.41102
3734.3142,0.7209
3734.31826,-0.00599
3734.31969,0.87455
3734.35783,-0.4255
3734.36856,1.17075
3734.37691,-0.01566
3734.37715,1.15795
3734.40599,0.01338
3734.42721,0.0625
3734.43031,0.69277
3734.43914,0.06282
3734.44533,0.81769
3734.44605,1.32775
3734.447,1.26625
3734.46536,0.09321
3734.47275,0.11512
3734.47418,-0.44669
3734.47514,1.15018
3734.4768,-0.23481
3734.48563,0.10746
3734.4923,-0.15022
3734.49707,0.11419
3734.50112,0.11549
3734.50184,0.06946
